"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","used","free"
26.520,4.353,64.308,3.348,0.0,1.471,9957005.624,2512211.069,0.0,0.0,1864351744.0,8785920.0,1848492032.0,132919296.0,51580928.0,3949780992.0
52.471,7.478,37.262,0.0,0.0,2.788,331776.0,253952.0,9594310.0,3818973.0,1862959104.0,8785920.0,1849909248.0,132894720.0,51580928.0,3949780992.0
48.531,8.174,40.230,0.128,0.0,2.937,0.0,356352.0,8685841.0,3645543.0,1865101312.0,8794112.0,1851269120.0,129384448.0,51580928.0,3949780992.0
54.672,7.449,34.975,0.0,0.0,2.904,0.0,253952.0,9816014.0,3998648.0,1863278592.0,8794112.0,1852424192.0,130052096.0,51580928.0,3949780992.0
52.041,9.184,35.459,0.128,0.0,3.189,0.0,270336.0,9516075.0,3889315.0,1864740864.0,8794112.0,1853661184.0,127352832.0,51580928.0,3949780992.0
50.566,7.925,38.113,0.126,0.0,3.270,0.0,253952.0,9052029.0,3690174.0,1862586368.0,8794112.0,1854861312.0,128307200.0,51580928.0,3949780992.0
52.845,7.332,36.662,0.126,0.0,3.034,0.0,237568.0,9606418.0,3837927.0,1865588736.0,8794112.0,1855987712.0,124178432.0,51580928.0,3949780992.0
48.420,7.838,40.708,0.253,0.0,2.781,0.0,401408.0,8683495.0,3643142.0,1862979584.0,8802304.0,1857241088.0,125526016.0,51580928.0,3949780992.0
55.527,8.132,33.164,0.0,0.0,3.177,0.0,245760.0,9765503.0,3966609.0,1864298496.0,8802304.0,1858416640.0,123031552.0,51580928.0,3949780992.0
53.230,9.044,34.755,0.0,0.0,2.972,0.0,262144.0,9555631.0,3912933.0,1862475776.0,8802304.0,1859706880.0,123564032.0,51580928.0,3949780992.0
51.558,7.662,38.312,0.0,0.0,2.468,0.0,262144.0,9073444.0,3700308.0,1864880128.0,8802304.0,1860882432.0,119984128.0,51580928.0,3949780992.0
50.448,8.323,37.900,0.0,0.0,3.329,0.0,270336.0,9556464.0,3809676.0,1862946816.0,8802304.0,1862074368.0,120725504.0,51580928.0,3949780992.0
50.0,7.634,39.186,0.127,0.0,3.053,0.0,282624.0,8722795.0,3658480.0,1864843264.0,8810496.0,1863311360.0,117583872.0,51580928.0,3949780992.0
53.671,8.608,34.304,0.127,0.0,3.291,0.0,262144.0,9700710.0,3907303.0,1862057984.0,8810496.0,1864470528.0,119209984.0,51580928.0,3949780992.0
54.822,9.772,32.360,0.0,0.0,3.046,0.0,278528.0,9620057.0,3963822.0,1864699904.0,8810496.0,1865728000.0,115310592.0,51580928.0,3949780992.0
50.826,8.259,38.374,0.0,0.0,2.541,0.0,229376.0,9076976.0,3702255.0,1862549504.0,8810496.0,1866932224.0,116256768.0,51580928.0,3949780992.0
51.950,9.308,35.849,0.126,0.0,2.767,0.0,253952.0,9587861.0,3831467.0,1865273344.0,8810496.0,1868025856.0,112439296.0,51580928.0,3949780992.0
44.458,7.970,38.730,5.978,0.0,2.864,0.0,37888000.0,8106196.0,3160947.0,1874501632.0,8802304.0,1847717888.0,123527168.0,52936704.0,3948425216.0
55.045,10.473,30.651,0.0,0.0,3.831,0.0,262144.0,10368432.0,4489520.0,1880576000.0,8798208.0,1848643584.0,116531200.0,52936704.0,3948425216.0
53.153,9.266,34.749,0.0,0.0,2.831,0.0,294912.0,9600425.0,3952999.0,1881796608.0,8798208.0,1850060800.0,113893376.0,52936704.0,3948425216.0
49.873,8.142,38.931,0.127,0.0,2.926,0.0,253952.0,9071904.0,3700145.0,1879736320.0,8798208.0,1851203584.0,114810880.0,52936704.0,3948425216.0
51.646,7.722,37.342,0.127,0.0,3.165,0.0,237568.0,9488993.0,3732337.0,1883267072.0,8798208.0,1852334080.0,110149632.0,52936704.0,3948425216.0
52.086,7.585,37.547,0.0,0.0,2.781,0.0,303104.0,8998778.0,3818253.0,1880305664.0,8806400.0,1853665280.0,111771648.0,52936704.0,3948425216.0
52.465,7.712,36.283,0.126,0.0,3.413,0.0,262144.0,9513443.0,3825533.0,1881141248.0,8806400.0,1854816256.0,109785088.0,52936704.0,3948425216.0
53.317,10.138,33.792,0.0,0.0,2.753,0.0,253952.0,9601274.0,3959890.0,1879527424.0,8806400.0,1856036864.0,110178304.0,52936704.0,3948425216.0
50.252,8.690,38.035,0.0,0.0,3.023,0.0,245760.0,9076006.0,3701423.0,1881088000.0,8806400.0,1857216512.0,107438080.0,52936704.0,3948425216.0
51.263,8.965,36.111,0.126,0.0,3.535,0.0,245760.0,9546928.0,3775223.0,1879654400.0,8806400.0,1858363392.0,107724800.0,52936704.0,3948425216.0
48.889,9.412,38.562,0.261,0.0,2.876,0.0,2375680.0,8946763.0,3782297.0,1854009344.0,8478720.0,1815003136.0,177057792.0,54992896.0,3946369024.0
51.746,8.021,36.740,0.0,0.0,3.493,0.0,253952.0,9572125.0,3864986.0,1851187200.0,8478720.0,1816174592.0,178708480.0,54992896.0,3946369024.0
53.875,7.875,35.125,0.125,0.0,3.0,0.0,270336.0,9257965.0,3800391.0,1852968960.0,8478720.0,1817477120.0,175624192.0,54992896.0,3946369024.0
51.450,8.449,36.948,0.126,0.0,3.026,0.0,245760.0,9355598.0,3820419.0,1850257408.0,8478720.0,1818624000.0,177188864.0,54992896.0,3946369024.0
50.572,9.149,37.103,0.0,0.0,3.177,0.0,253952.0,9563781.0,3809521.0,1853100032.0,8478720.0,1819783168.0,173187072.0,54992896.0,3946369024.0
50.191,9.045,37.452,0.255,0.0,3.057,0.0,8056832.0,8923984.0,3755769.0,1850421248.0,8486912.0,1821093888.0,174546944.0,54992896.0,3946369024.0
53.224,7.459,36.410,0.0,0.0,2.908,0.0,229376.0,9532861.0,3851131.0,1851854848.0,8486912.0,1822298112.0,171909120.0,54992896.0,3946369024.0
55.190,9.114,32.405,0.127,0.0,3.165,0.0,294912.0,9674235.0,3982124.0,1846022144.0,8486912.0,1823670272.0,176369664.0,54992896.0,3946369024.0
51.806,8.344,37.733,0.125,0.0,1.993,0.0,253952.0,8978210.0,3658841.0,1849462784.0,8486912.0,1824743424.0,171855872.0,54992896.0,3946369024.0
52.598,7.985,36.375,0.0,0.0,3.042,0.0,237568.0,9568851.0,3806913.0,1847472128.0,8486912.0,1825898496.0,172691456.0,54992896.0,3946369024.0
51.018,7.252,38.804,0.127,0.0,2.799,0.0,372736.0,8920493.0,3750467.0,1856860160.0,8495104.0,1827221504.0,161972224.0,54992896.0,3946369024.0
